Identificador,Alinhamento,Autorizações,Comercialização,Depósito,Derivados,Detalhamento do efeito,Detalhamento forma de uso,Diagramação,Discursos de autoridade,Doença mencionada,Dúvidas,Elementos de composição,Extras,Hieraquia da informação,ID,Informações indicativas,Link,Menções a lugares,Observações,Origem,Original (primeira aparição),Palavra-chave efeito,Palavras-chave produto,Preço,Primeiras palavras do anúncio,Produto ofertado (título completo),Produção,Público mencionado,Quantidade de variações tipográficas (aprox.),Responsável técnico,Sinal visual de autoridade,Status,Substâncias,Tipificação da imagem (aprox.),Tipo de produto,Variação tipográfica,Variação typeface
a_celebre_moussenade_1_coluna,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,"Deposito geral em casa dos Srs. Souza Foncesa & C. agentes do Banco do Minho, rua Primeiro de Março n. 51.
Em S. Paulo - Peixoto Steles & Cª, rua Direita, loja de ferragens e drogaria.
Em Macahé - João Manoel Fernandes, rua Direita.
Em Campos - (provisoriamente) no Hotel Jannes.","a_celebre_moussenade_2_colunas (https://www.notion.so/a_celebre_moussenade_2_colunas-27dd075ca7128026ae21c8a3fa2f5102?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_1 (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_1-27dd075ca71280a7bd4deac258d15787?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_2 (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_2-27dd075ca71280de85b3fd104f37013b?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_3 (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_3-27dd075ca71280d9933cf4fe23b63f0b?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_4 (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_4-27dd075ca7128067a1d0eae712fade6c?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_illmjosejoaquim (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_illmjosejoaquim-27dd075ca712807cab2eefbd015b2860?pvs=21), a_celebre_moussenade_aviso_1,2,3,4_tabeliaoRamos (https://www.notion.so/a_celebre_moussenade_aviso_1-2-3-4_tabeliaoRamos-27dd075ca71280d2ab9afe98486e0986?pvs=21), a_celebre_moussenade_aviso_2 (https://www.notion.so/a_celebre_moussenade_aviso_2-27dd075ca71280988ae1ff7a4cfb265b?pvs=21), a_celebre_moussenade_aviso_4_febres_amarella (https://www.notion.so/a_celebre_moussenade_aviso_4_febres_amarella-27dd075ca71280b7af2ce64fcccced03?pvs=21), a_celebre_moussenade_aviso_4_tisica (https://www.notion.so/a_celebre_moussenade_aviso_4_tisica-27dd075ca71280a0b77efc30a9e08033?pvs=21)",Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas, Recomendado/attestado por especialistas, Testemunho de usuário, Utilizado por especialistas","Anemia, Asthma [asma], Barbulhas, Bexigas, Boubas, Bronchites (bronchitas), Catarrhos, Catarrhos da bexiga (bexigoa), Chagas, Chlorose [chlorosis], Cholera morbus, Colicas, Constipações, Corrimentos, Darthros, Debilisdade geral do systema, Dentição, Diarrhea (rebeldes), Dispepsia (dyspepsias), Doença do estomago, Emmagrecimento, Enxaqueca, Erysipellas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Estreitamento urethra, Falta de appetite (perda), Febre amarela, Febre biliosa, Febre continua, Febre escarlatina, Febre gastrica, Febre gastritica, Febre paludosa, Febre perniciosa, Febre tiphoide, Febres inttermittentes (inveteradas), Feridas antigas (feridas chronicas), Gotta, Hemorrhoidas, Ictericia, Impingens (empingens empigens), Impotencia, Impureza no sangue, Indigestão, Larynge, Lepra, Molestias do coração, Molestias nervosas, Morphéa, Prisão de ventre, Prostração, Rheumatismo, Sarampo, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas], Tinha, Tisica (Tysica), Tossas [tosse] [tosses], Tosse convulsa/coqueluche, Tuberculos mesintericos, Tumores glandulares, Ulceras, Vomitos",,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal, Título secundário",54,Depósito,https://drive.google.com/file/d/1ZdZS8OxVO0RHYi-IHbope55hPSdWwfm0/view?usp=drive_link,"Campos, Macahé, Rio de Janeiro, S. Paulo","verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,,"Melhores resultados, Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,6,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Itálico, Regular, Versalete",Serifa
a_celebre_moussenade_2_colunas,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,"Deposito geral em casa dos Srs. Souza Foncesa & C. agentes do Banco do Minho, rua Primeiro de Março n. 51.
Em S. Paulo - Peixoto Steles & Cª, rua Direita, loja de ferragens e drogaria.
Em Campos - (provisoriamente) no Hotel Jannes.",,Detalhado,Mencionado,2 colunas,"Apelo ao ""natural"", Detalhes dos sintomas, Recomendado/attestado por especialistas, Testemunho de usuário, Utilizado por especialistas","Anemia, Asthma [asma], Barbulhas, Bexigas, Boubas, Bronchites (bronchitas), Catarrhos, Catarrhos da bexiga (bexigoa), Chagas, Chlorose [chlorosis], Cholera morbus, Colicas, Constipações, Corrimentos, Darthros, Debilisdade geral do systema, Dentição, Diarrhea (rebeldes), Dispepsia (dyspepsias), Doença do estomago, Emmagrecimento, Enxaqueca, Erysipellas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Estreitamento urethra, Falta de appetite (perda), Febre amarela, Febre biliosa, Febre continua, Febre escarlatina, Febre gastrica, Febre gastritica, Febre paludosa, Febre perniciosa, Febre tiphoide, Febres inttermittentes (inveteradas), Feridas antigas (feridas chronicas), Gotta, Hemorrhoidas, Ictericia, Impingens (empingens empigens), Impotencia, Impureza no sangue, Indigestão, Larynge, Lepra, Molestias do coração, Molestias nervosas, Morphéa, Prisão de ventre, Prostração, Rheumatismo, Sarampo, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas], Tinha, Tisica (Tysica), Tossas [tosse] [tosses], Tosse convulsa/coqueluche, Tuberculos mesintericos, Tumores glandulares, Ulceras, Vomitos",,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal, Título terciário",55,Depósito,https://drive.google.com/file/d/1kuzCSU3x7QwTqkT1sD6rVHK3JAkf_v3X/view?usp=drive_link,"Campos, Rio de Janeiro, S. Paulo","verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Melhores resultados, Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,6,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Itálico, Regular, Versalete",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_1","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Asthma [asma], Bronchites (bronchitas), Catarrhos, Coqueluche, Laringe, Tisica (Tysica), Tossas [tosse] [tosses], Tosse convulsa/coqueluche, Tuberculos mesentericos",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título terciário",56,Depósito,https://drive.google.com/file/d/1Zz64CCcxfEGTGAi2wTZf7HLKiwAXW0Gm/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Regular",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_2","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Anemia, Chlorose [chlorosis], Colicas, Constipações, Debilisdade geral do systema, Dentição, Diarrhea (rebeldes), Dispepsia (dyspepsias), Doença do estomago, Emmagrecimento, Enxaqueca, Falta de appetite (perda), Gotta, Hemorrhoidas, Ictericia, Impotencia, Indigestão, Molestias figado, Molestias nervosas, Prisão de ventre, Prostração, Suffocações, Vomitos",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",57,Depósito,https://drive.google.com/file/d/1sMBDLyH7bJOE2VUtTsn09jyNWiClQDgV/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_3","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Borbulhas, Boubas, Chagas, Corrimentos, Darthros, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Feridas antigas (feridas chronicas), Impingens (empingens empigens), Impureza no sangue, Lepra, Morphéa, Rheumatismo, Siphilis [Siphylis] [enfermidades syphiliticas], Tinha, Tumores glandulares, Ulceras",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",58,Depósito,https://drive.google.com/file/d/1BPS3q1-Kwhk56nT3rHnJOLPdE20SsgIK/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_4","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Ausente, Bexigas, Cholera morbus, Erysipellas, Febre amarela, Febre escarlatina, Febre paludosa, Febre perniciosa, Febre tiphoide, Febres inttermittentes (inveteradas), Sarampo",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",59,Depósito,https://drive.google.com/file/d/197Z4D3xxEM45bzPRWeGRBhqVZzTWSq9k/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_illmjosejoaquim","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas",Ausente,,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",60,Depósito,https://drive.google.com/file/d/1OfTHUwV3eI6s2LcYj9P0D2cZctTj65bO/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,7,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular",Serifa
"a_celebre_moussenade_aviso_1,2,3,4_tabeliaoRamos","Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas, Recomendado/attestado por especialistas",Ausente,,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",61,Depósito,https://drive.google.com/file/d/17FdfymWrZpXwbpSdQfKhNqVVCpRzYndH/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,7,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Regular",Serifa
a_celebre_moussenade_aviso_2,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,DEPOSITO GERAL Sampaio Rocha & Cª - Rua Direita n. 60,,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Anemia, Chlorose [chlorosis], Colicas, Constipações, Debilisdade geral do systema, Dentição, Diarrhea (rebeldes), Dispepsia (dyspepsias), Doença do estomago, Emmagrecimento, Enxaqueca, Falta de appetite (perda), Gotta, Hemorrhoidas, Ictericia, Impotencia, Indigestão, Molestias figado, Molestias nervosas, Prisão de ventre, Prostração, Suffocações, Vomitos",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",62,Depósito,https://drive.google.com/file/d/1aWZiiTB7D9FcAdTBQTl5QJtPY8hQ6H1m/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,9,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Expandido, Regular",Serifa
a_celebre_moussenade_aviso_4_febres_amarella,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,"DEPOSITO EM CAMPOS
Sampaio Rocha & Comp, rua Direita n. 60",,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Bexigas, Cholera morbus, Erysipellas, Febre amarela, Febre biliosa, Febre continua, Febre escarlatina, Febre gastrica, Febre paludosa, Febre perniciosa, Febre tiphoide, Febres inttermittentes (inveteradas), Sarampo",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",63,Depósito,https://drive.google.com/file/d/1A0icjjWYXtGf4tbidWBvJHBSdrLtOYPW/view?usp=drive_link,"Campos, Rio de Janeiro","verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Expandido, Regular",Serifa
a_celebre_moussenade_aviso_4_tisica,"Centralizado, Justificado esquerda",Exma. Junta de Hygiene Publica do Rio de Janeiro,-,"DEPOSITO EM CAMPOS
Sampaio Rocha & Comp, rua Direita n. 60",,Detalhado,Mencionado,1 coluna,"Apelo ao ""natural"", Detalhes dos sintomas","Asthma [asma], Bronchites (bronchitas), Catarrhos, Coqueluche, Laringe, Tisica (Tysica), Tossas [tosse] [tosses], Tosse convulsa/coqueluche, Tuberculos mesintericos",,Ausente,Nenhum,"Corpo do texto, Nota de rodapé, Subtítulo, Título principal, Título secundário",64,Depósito,https://drive.google.com/file/d/1lNd4BBfz_yNjt25oie_4qZK2v8iB4JxI/view?usp=drive_link,Rio de Janeiro,"verdadeira maravilha do seculo, composto sómente de vegetaes, pela maior parte da Flora Brazileira e Arabica",Indefinido,a_celebre_moussenade_1_coluna (https://www.notion.so/a_celebre_moussenade_1_coluna-27dd075ca71280588fd1dadcf7f056a4?pvs=21),"Applica-se, Produz assombrosas curas, Sem repugnancia, [moléstia] não resiste","Agradável, Approvado(a), Celebre, Maravilha, Thesouro",-,Nome do produto,Moussenade,-,Portadores/acometidos,8,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,"Bold, Caixa alta, Condensado, Expandido, Regular",Serifa
vinho_tonico_reconstituinte_com_extracto_carne,"Centralizado, Justificado esquerda",Ausente,-,44 - Rua do Concelho - 44 Pharmacia Delgado CAMPOS,,Ausente,Ausente,1 coluna,Ausente,Ausente,,Ausente,Nenhum,"Corpo do texto, Título principal, Título secundário, Título terciário",65,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1mRfJ1MCy9BuBxfJY3JUlhhtQTUj0Rc2D/view?usp=drive_link,Campos,,Indefinido,,Ausente,"Reconstituinte [reconstituitivo], Tonico",-,Produto,"Vinho Tonico-reconstituinte com extracto de carne, quina, glicerine e lacto phosphato",-,Ausente,4,Veiga,Ausente,Finalizado,"Extracto de carne, Glicerine [Glycerina], Lactophosphato de cal, Peptona pepsica, Quina",Ausente,Vinho,"Bold, Caixa alta, Expandido, Regular",Serifa
xarope_tres_quinas,"Centralizado, Justificado esquerda",Ausente,-,DEPOSITO: - Rua do Concelho n. 44. Pharmacia DELGADO CAMPOS,,Ausente,Ausente,1 coluna,Ausente,Ausente,,Ausente,Nenhum,"Corpo do texto, Título principal, Título secundário",66,"Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1FhGODA_CB7m30Jjna35Ri-mALaCvqjp4/view?usp=drive_link,Campos,,Indefinido,,Ausente,Ausente,-,Nome do produto,Xarope das tres quinas,-,Ausente,6,B. Delgado [Delgado],Ausente,Finalizado,"Arsenico, Glicerine [Glycerina], Lactophosphato de cal",Ausente,Xarope,"Bold, Caixa alta, Condensado, Expandido, Itálico, Regular","Fantasia, Serifa"
muita_attencao_pomada_indiana,"Centralizado, Justificado esquerda",Ausente,-,"DEPOSITO: Rua Direita, pharmacia do Sr. Vicente CAMPOS",,Mencionado,Ausente,1 coluna,Ausente,Calvice,,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal, Título secundário",67,Depósito,https://drive.google.com/file/d/1BprkCRPOc03kUI10tyOIPrW0D0UlRsbV/view?usp=drive_link,Campos,,Indefinido,,"Crescer cabello, Não há mais [moléstia]",Infalivel (infallivel),-,Muita attenção,Pomada indiana,-,Ausente,4,Ausente,Ausente,Finalizado,Ausente,Ausente,Pomada,"Bold, Caixa alta, Itálico, Regular",Serifa
feridas_antigas_pomada,"Centralizado, Justificado esquerda",Ausente,-,"unico deposito, na côrte rua da Assembléa n. 89",,Mencionado,Ausente,1 coluna,Ausente,Feridas antigas (feridas chronicas),,Ausente,Nenhum,"Corpo do texto, Título principal",68,"Depósito, Preço",https://drive.google.com/file/d/19zH3_gydjqMzvk60pFXcMaslhl3Wgsqy/view?usp=drive_link,Côrte,,Indefinido,,Curar [moléstia] (cura [moléstia]  cura-se [moléstia]),"Eficaz (efficacissimo), Unico(a) garantido(a)","Pote 1$, duzia 10$090",[Moléstia],Pomada de Ricards,-,Ausente,2,Ricards,Ausente,Finalizado,Ausente,Ausente,Pomada,Regular,Serifa
tosses_bronchites,"Centralizado, Justificado esquerda",Exma Junta de Hygiene Publica,"vende-se unicamente na côrte na rua da Assembléa n. 89, pharmacia",-,,Detalhado,Ausente,1 coluna,Recomendado/attestado por especialistas,"Asthma [asma], Bronchites (bronchitas), Defluxos, Dores de peito, Larynge, Suffocações, Tossas [tosse] [tosses]",,Ausente,Nenhum,"Corpo do texto, Título principal",69,Comercialização,https://drive.google.com/file/d/1fkQJmE8ZeDtQxX-GGlUDUitG5B_XlmoS/view?usp=drive_link,Noruega,,Indefinido,,"Combater [moléstia], Curar [moléstia] (cura [moléstia]  cura-se [moléstia])",Approvado(a),-,[Moléstia],"Xarope peitoral de fedegoso, angico e alcatrão de Noruega",-,Ausente,2,Ausente,Ausente,Finalizado,"Alcatrão de Noruega Puro, Angico, Fedegoso",Ausente,Xarope,Regular,Serifa
doenca_do_estomago_elexir_camomilla,"Centralizado, Justificado esquerda",Exma Junta de Hygiene Publica,-,"unico deposito, na côrte rua da Assembléa n. 89, pharmacia",,Mencionado,Ausente,1 coluna,Ausente,"Doença do estomago, Molestias estomago, Molestias figado",,Ausente,Nenhum,"Corpo do texto, Título principal",70,Depósito,https://drive.google.com/file/d/1tO8RFl1UvoEkVU3zgkYW6JA-aPsuGG_5/view?usp=drive_link,Nenhum,,Indefinido,,"Fortifica, Tornam facil a digestão","Approvado(a), O melhor, Tonico",-,[Moléstia],Elexir de camomilla composto,-,Ausente,2,Ausente,Ausente,Finalizado,Camomilla composto,Ausente,Elexir/elixir,Regular,Serifa
gonorreas,"Centralizado, Justificado esquerda",Exma Junta de Hygiene Publica,-,"unico deposito, na côrte rua da Assembléa n. 89, pharmacia",,Mencionado,Ausente,1 coluna,Ausente,"Corrimentos, Flôres brancas, Gonorréas antigas e recentes",,Ausente,Nenhum,"Corpo do texto, Título principal",71,Depósito,https://drive.google.com/file/d/1qcpJ3V37bs8dwV_ONsbxDnLFvyepZvE5/view?usp=drive_link,Nenhum,,Indefinido,,"Cura radical, Sem dor, Sem recolhimento",Approvado(a),-,[Moléstia],Especifico de Beyran,-,Ausente,2,Ausente,Ausente,Finalizado,Ausente,Ausente,Indefinido,Regular,Serifa
molestias_da_pelle,"Centralizado, Justificado esquerda",Exma Junta de Hygiene Publica,-,"unico deposito, na côrte rua da Assembléa n. 89, pharmacia",,Detalhado,Ausente,1 coluna,Qualidade da produçao,"Borbulhas, Darthros, Erupções cutaneas, Erysipellas, Escrofula (escrophulasa scrophulas escrophulas escrofulose), Impingens (empingens empigens), Molestias de impurezas no sangue, Molestias pelle, Rheumatismo, Sarnas, Siphilis [Siphylis] [enfermidades syphiliticas]",,Ausente,Nenhum,"Corpo do texto, Título principal",72,Depósito,https://drive.google.com/file/d/17nyCWS8kS8qibZCU8RPFs8px6z0nqe2u/view?usp=drive_link,Nenhum,,Indefinido,,Cura radical,"Approvado(a), O melhor, Purificador do sangue",-,[Moléstia],"Tintura de salsa, caroba e sucupira branca",-,Ausente,2,Ausente,Ausente,Finalizado,"Carroba (caroba), Salsa, Sucupira branco",Ausente,Tintura,Regular,Serifa
o_maior_successo_epoca_rhaumatismo,"Centralizado, Justificado esquerda",Ausente,"Unico agente nesta cidade e para o interior Henrique Spittle Casa Ingleza, rua Direita, esquina da Sete de Setembro CAMPOS",-,o_maior_successo_da_epoca_petrolectrina (https://www.notion.so/o_maior_successo_da_epoca_petrolectrina-27dd075ca7128016b34add8f64457cf8?pvs=21),Mencionado,Ausente,1 coluna,Autorisado pelo governo imperial,Rheumatismo,,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal, Título secundário",73,Comercialização/Depósito (dúbia),https://drive.google.com/file/d/1noaeU4yY-bRZwGJfQxYQ2nvurRs-DpH_/view?usp=drive_link,"Campos, Rio de Janeiro","Desapparecem como por encanto, em poucas horas, e em alguns casos em poucos minutos, desde que se faça uso do infallivel e garantido remedio a - Petrolectrina
—
Autorizados pelo governo imperial por proposta do Dr. Demerval da Fonseca, trevssa de Santa Rita n. 1. - Coral & Cardoso",Indefinido,,Desapparecem como por encanto,"Autorisado(a), Garantido, Infalivel (infallivel)",-,Maior sucesso,Petrolectrina,-,Ausente,6,Ausente,Ausente,Finalizado,Petrolectrina (Pectrolectrina),Ausente,Indefinido,"Bold, Caixa alta, Expandido, Regular, Versalete",Serifa
vinho_quinado_dr_macleod,"Centralizado, Justificado esquerda",Ausente,VENDE-SE NAS PRINCIPAES PHARMACIAS,Deposito: 59 rua Montmartre PARIZ,,Mencionado,Ausente,1 coluna,Ausente,"Anemia, Asthma [asma], Chlorose [chlorosis], Dispepsia (dyspepsias), Escrofula (escrophulasa scrophulas escrophulas escrofulose), Gastralgia",,Ausente,Nenhum,"Corpo do texto, Subtítulo, Título principal, Título secundário",74,"Comercialização, Depósito, Responsável técnico/preparado por/Pharmaceutico",https://drive.google.com/file/d/1L87vUGYBFSFl3Ow9uimnH4_jFmyGS2hx/view?usp=drive_link,Pariz [Paris],,Indefinido,,Contra [a moléstia as moléstias],"Febrifugo, Hematogeneo, Muito recomendado, Reconstituinte [reconstituitivo], Tonico",-,Nome do produto,Vinho quinado do Dr. Macleod,-,"""convalescentes"", ""pessoas debeis"", ""senhoras gravidas"", Adolescentes",8,Dr. Macleod,Ausente,Finalizado,Phosphato duplo de ferro e de cal,Ausente,Vinho,"Bold, Caixa alta, Condensado, Expandido, Itálico, Regular",Serifa
